단가id,회사,차량명,연식,판매가격
703,현대,아반떼,2000,"35,000"
704,르노삼성,SM5 SM520,2002,"35,000"
705,현대,테라칸,2002,"30,000"
706,기아,쏘렌토,2004,"35,000"
707,기아,쏘렌토,2004,"45,000"
708,기아,쏘렌토,2004,"30,000"
709,쌍용,뉴코란도,2002,"35,000"
710,현대,쏘나타 3,1998,"35,000"
711,쉐보레/GM대우,매그너스,2002,"35,000"
712,현대,포터2,2013,"35,000"
713,현대,스타렉스,2002,"35,000"
714,기아,봉고3 트럭 1톤,2004,"70,000"
715,르노삼성,SM5 SM520V,2002,"30,000"
716,쌍용,액티언 스포츠,2011,"100,000"
717,기아,카스타,1999,"30,000"
718,르노삼성,SM5 SM520,2003,"35,000"
719,현대,아반떼 XD,2003,"30,000"
720,현대,스타렉스,2003,"35,000"
721,쌍용,액티언 스포츠,2011,"100,000"
722,쌍용,액티언 스포츠,2011,"35,000"
723,현대,쏘나타 3,1996,"35,000"
724,현대,NF 쏘나타,2005,"35,000"
725,현대,NF 쏘나타,2005,"40,000"
726,현대,아반떼 XD,2002,"35,000"
727,기아,로체,2006,"40,000"
728,쉐보레/GM대우,칼로스,2005,"35,000"
729,쉐보레/GM대우,칼로스,2005,"30,000"
730,쌍용,액티언 스포츠,2011,"35,000"
731,현대,싼타페,2002,"100,000"
732,현대,뉴 포터 초장축 더블캡,2001,"40,000"
733,현대,스타렉스,2002,"35,000"
734,르노삼성,SM5 SM520V,2000,"35,000"
735,르노삼성,SM3,2007,"40,000"
736,현대,뉴 EF 쏘나타,2001,"35,000"
737,현대,NF 쏘나타,2007,"35,000"
738,현대,NF 쏘나타,2007,"40,000"
739,기아,옵티마,2001,"40,000"
740,쉐보레/GM대우,매그너스,2004,"40,000"
741,기아,카렌스,2003,"35,000"
742,기아,세피아,1997,"35,000"
743,쉐보레/GM대우,레간자,1999,"35,000"
744,현대,그랜저 TG,2005,"70,000"
745,기아,카렌스,2000,"35,000"
746,현대,포터2,2013,"40,000"
747,현대,싼타페,2002,"45,000"
748,기아,스펙트라,2002,"35,000"
749,현대,그랜저 TG,2006,"40,000"
750,현대,싼타페,2001,"40,000"
751,쉐보레/GM대우,라세티,2005,"40,000"
752,쉐보레/GM대우,라세티,2005,"40,000"
753,쉐보레/GM대우,라세티,2005,"35,000"
754,기아,봉고3 트럭,2010,"30,000"
755,기아,봉고3 트럭,2010,"30,000"
756,현대,싼타페,2002,"40,000"
757,현대,EF 쏘나타,2000,"30,000"
758,현대,EF 쏘나타,1999,"35,000"
759,현대,산타모,1999,"40,000"
760,현대,뉴 EF 쏘나타,2001,"30,000"
761,기아,뉴 모닝,2009,"30,000"
762,현대,아반떼 XD,2002,"35,000"
763,기아,로체,2008,"35,000"
764,기아,로체,2008,"45,000"
765,현대,NF 쏘나타,2005,"40,000"
766,현대,NF 쏘나타,2005,"40,000"
767,현대,NF 쏘나타,2005,"40,000"
768,Mercedes,벤츠) / E,2012,"150,000"
769,기아,뉴 모닝,2009,"30,000"
770,기아,뉴 모닝,2009,"35,000"
771,현대,쏘나타 3,1996,"35,000"
772,기아,all new 모닝,2015,"50,000"
773,기아,K5,2013,"40,000"
774,르노삼성,뉴SM5(L43),2012,"185,000"
775,르노삼성,뉴SM5(L43),2012,"200,000"
776,현대,에쿠스 JS330,2007,"66,000"
777,현대,그랜드 스타렉스,2014,"40,000"
778,현대,쏠라티,2018,"50,000"
779,현대,쏠라티,2018,"50,000"
780,쌍용,코란도 C,2016,"100,000"
781,쌍용,코란도 C,2016,"60,000"
782,쌍용,코란도 C,2015,"40,000"
783,쌍용,코란도 C,2015,"60,000"
784,기아,카렌스 2,2003,"45,000"
785,현대,그랜저 TG LPI Q270,2007,"220,000"
786,기아,all new 모닝,2016,"250,000"
787,쉐보레/GM대우,크루즈 1.8 LTZ,2013,"110,000"
788,현대,그랜저 TG LPI Q270,2007,"30,000"
789,쉐보레/GM대우,크루즈 1.8 LTZ,2013,"100,000"
790,쌍용,뉴무쏘,2001,"35,000"
791,현대,그랜저 XG,2001,"40,000"
792,현대,싼타페 더 프라임,2016,"40,000"
793,쉐보레/GM대우,All New 마티즈 조이,2006,"45,000"
794,기아,New 스포티지 디젤(CRDI) 2WD TLX,2005,"85,000"
795,현대,에쿠스VI,2011,"240,000"
796,현대,에쿠스VI,2013,"57,000"
797,기아,옵티마 LPG 2.0 LS,2003,"35,000"
798,현대,그랜저 XG,2000,"50,000"
799,현대,스타렉스 9인승 LPG,2002,"45,000"
800,기아,옵티마,2000,"50,000"
801,현대,아반떼 MD,2012,"30,000"
802,쌍용,코란도 투리스모,2014,"40,000"
803,기아,더 뉴 모닝,2017,"50,000"
804,기아,더 뉴 모닝,2017,"100,000"
805,쉐보레/GM대우,마티즈 2,1999,"40,000"
806,르노삼성,SM5 SM520,2002,"50,000"
807,쉐보레/GM대우,All New 마티즈,2007,"50,000"
808,기아,all new 쏘렌토,2016,"30,000"
809,쌍용,렉스턴W,2014,"40,000"
810,현대,YF 쏘나타,2011,"25,000"
811,현대,YF 쏘나타,2011,"25,000"
812,현대,뉴 EF 쏘나타,2001,"50,000"
813,현대,쏘나타 3,1997,"40,000"
814,쉐보레/GM대우,All New 마티즈 조이,2006,"45,000"
815,쉐보레/GM대우,All New 마티즈 조이,2006,"55,000"
816,쌍용,뉴렉스턴,2005,"55,000"
817,르노삼성,QM3,2017,"165,000"
818,르노삼성,뉴SM5(L43),2010,"250,000"
819,현대,뉴스타렉스,2006,"35,000"
820,기아,all new 모닝,2013,"35,000"
821,기아,카렌스 2,2004,"30,000"
822,기아,카니발2,2004,"25,000"
823,현대,베라크루즈,2007,"30,000"
824,현대,그랜저 IG,2018,"120,000"
825,Volkwagen(폭스바겐),Phaeton,2009,"499,000"
826,쌍용,렉스턴,2002,"40,000"
827,현대,투싼 ix,2011,"200,000"
828,쉐보레/GM대우,윈스톰,2007,"40,000"
829,쉐보레/GM대우,매그너스,2003,"44,000"
830,쉐보레/GM대우,라세티,2005,"110,000"
831,기아,그랜드 카니발 GX,2006,"70,000"
832,기아,그랜드 카니발 GX,2006,"70,000"
833,기아,그랜드 카니발 GX,2006,"50,000"
834,현대,아반떼,1997,"30,000"
835,현대,아반떼,1997,"35,000"
836,쉐보레/GM대우,더 넥스트 스파크,2016,"200,000"
837,현대,갤로퍼2 이노베이션 터보,2001,"40,000"
838,현대,갤로퍼2 이노베이션 터보,2001,"45,000"
839,현대,뉴 EF 쏘나타 LPG 2.0 TXL,2002,"50,000"
840,현대,갤로퍼2,2000,"70,000"
841,쌍용,카이런 2.7 4WD LV7,2006,"40,000"
842,Peugeot(푸조),308,2010,"250,000"
843,쌍용,무쏘,1996,"45,000"
844,현대,갤로퍼2,2000,"20,000"
845,현대,아반떼 XD,2001,"40,000"
846,쌍용,뉴렉스턴,2004,"45,000"
847,현대,싼타페,2000,"50,000"
848,현대,투싼 디젤(VGT) 2WD MXL,2006,"30,000"
849,쌍용,코란도 투리스모 4WD LT,2014,"40,000"
850,LINCOLN(링컨),MKS,2012,"299,000"
851,현대,뉴 EF 쏘나타,2003,"50,000"
852,현대,뉴 EF 쏘나타,2003,"50,000"
853,현대,뉴 EF 쏘나타,2003,"35,000"
854,Ford(포드),NEW TAURUS,2010,"299,000"
855,Ford(포드),NEW TAURUS,2010,"399,000"
856,Peugeot(푸조),206 CC 1.6 Convertible,2006,"150,000"
857,쉐보레/GM대우,라세티 프리미어,2010,"30,000"
858,현대,트라제 XG,1999,"45,000"
859,기아,옵티마,2001,"40,000"
860,현대,YF 쏘나타,2012,"30,000"
861,기아,더 뉴 K5,2014,"30,000"
862,Volkwagen(폭스바겐),Scirocco,2014,"399,000"
863,Volkwagen(폭스바겐),Scirocco,2014,"199,000"
864,현대,투싼,2004,"40,000"
865,쉐보레/GM대우,매그너스,2002,"40,000"
866,쉐보레/GM대우,All New 마티즈 조이,2006,"50,000"
867,현대,갤로퍼2,1999,"50,000"
868,기아,X-TREK,2005,"55,000"
869,기아,스펙트라,2001,"30,000"
870,쉐보레/GM대우,레간자,1997,"35,000"
871,현대,뉴 EF 쏘나타,2002,"40,000"
872,현대,그랜저 XG,2000,"30,000"
