단가id,차량명,연식,부품명,부품등급,판매가격
335,투스카니,2002,센터 머플러,B등급,"30,000"
336,i30cw,2009,센터 머플러,A등급,"20,000"
337,YF 쏘나타,2014,센터 머플러,B등급,"30,000"
338,뉴 프라이드,2011,센터 머플러,A등급,"30,000"
339,프라이드,2008,센터 머플러,A등급,"20,000"
340,프라이드,2008,프런트 머플러,A등급,"20,000"
341,뉴 프라이드,2011,리어 머플러,A등급,"30,000"
342,누비라2,2000,리어 머플러,B등급,"30,000"
343,뉴 스포티지,2006,센터 머플러,B등급,"30,000"
344,세피아,1996,센터 머플러,A등급,"30,000"
345,스타렉스,2001,리어 머플러,B등급,"20,000"
346,체어맨,2012,프런트 머플러,A등급,"150,000"
347,CLK-CLASS,1998,머플러 ASSY,A등급,협
348,7시리즈,2000,머플러 ASSY,B등급,"600,000"
349,C-class,2001,프런트 머플러,A등급,"500,000"
350,토러스,1997,프런트 머플러,A등급,"400,000"
351,에쿠스,2000,센터 머플러,B등급,"50,000"
352,뉴 SM3,2011,머플러 ASSY,B등급,"70,000"
353,뉴 SM3,2011,머플러 ASSY,B등급,"170,000"
354,SM3 뉴 제너레이션,2007,프런트 머플러,B등급,"150,000"
355,3시리즈,1997,프런트 머플러,B등급,"200,000"
356,무쏘,1999,센터 머플러,A등급,"30,000"
357,에쿠스,1999,프런트 머플러,A등급,"50,000"
358,YF 쏘나타,2011,센터 머플러,A등급,"40,000"
359,라노스,1997,프런트 머플러,A등급,"20,000"
360,슈마,1999,센터 머플러,A등급,"20,000"
361,E-class,2014,프런트 머플러,A등급,협
362,리오,2002,센터 머플러,A등급,"20,000"
363,세피아2,1999,리어 머플러,A등급,"20,000"
364,체어맨,2003,센터 머플러,A등급,"150,000"
365,쏘나타 III,1997,센터 머플러,A등급,"40,000"
366,세피아,1994,센터 머플러,A등급,"20,000"
367,크레도스,1997,리어 머플러,A등급,"20,000"
368,엑센트,1996,센터 머플러,A등급,"20,000"
369,레간자,1997,센터 머플러,A등급,"20,000"
370,크레도스,1997,리어 머플러,A등급,"20,000"
371,스타렉스 점보,1999,리어 머플러,A등급,"30,000"
372,리오,2001,센터 머플러,A등급,"20,000"
373,스펙트라,2001,센터 머플러,A등급,"20,000"
